,Title,Description
0,Traditionele Arretjescake,Deze cake is perfect bij de koffie door zijn intense chocoladesmaak.
1,Zo maak je fryramisu (tiramisu met Fryske dúmkes),"Fyramisu. Want wat met lange vingers kan, kan ook met Fryske dúmkes. Bjusterbaarlik lekker. "
2,Dé frisse koffiecocktail van deze zomer,Probeer deze heerlijke frisse koffiecocktail met de likeur van Hollands Genoegen.
3,De populaire Dalgona koffie,Fluffy ijskoffie is de koffie trend van 2020. Het is makkelijk te maken en ook nog eens lekker.
4,Koffie milkshake met vanille-ijs en banaan,Zin in een zoete koffie variant? Deze koffie milkshake met vanille-ijs en banaan is het perfecte drankje.
5,Filterkoffie met ijsblokjes van cola,Voor deze ‘cold brew’ heb je alleen filterkoffie en cola nodig. Gezet volgens de Japanse zetmethode.
6,Zó maak je cantuccini,"Cantuccini, ooit van gehoord? Dit Italiaanse amandelkoekje wordt vaak in de horeca bij de koffie geserveerd."
7,Oelala: Espresso Martini,Punten scoren? Serveer een ijskoude Espresso Martini. 
8,Frisse filterkoffie met tonic,"Voor welke gelegenheid je deze filterkoffie met tonic ook zet, het ijs is meteen gebroken. Wat een smaakexplosie! ﻿"
9,IJskoffie voor het hele jaar door,"IJskoffie alleen in de zomer? Nee hoor, deze koffie kan het hele jaar door. "
10,Panforte: perfect voor bij een espresso,Alle noten verzamelen! Deze panforte moet je echt eens maken. Hij smaakt fantastisch bij een espresso door de mix van verschillende noten. 
11,Filterkoffie met steranijs,Heb je het zetten van een goede filterkoffie onder de knie? Experimenteer dan eens door een ingrediënt toe te voegen.
12,Mazagran: cold brew coffee met citroen,Een verrassende koude koffiedrank is Mazagran: espresso met citroensap en mineraalwater.
13,Voor bij de koffie met kerst: kerstkoffiekoekjes,Je hebt koffie. Je hebt koek. Je hebt kerst. Mix deze ‘elementen’ tot een geheel en je krijgt deze overheerlijke kerstkoffiekoekjes.
14,Koffiesnack: appel met pindakaas en gemalen koffiebonen,Zin in een snack bij de koffie? Hebben we voor je: appel met pindakaas en gemalen koffiebonen. Verrassend lekker! 
15,Ontbijtshake met banaan en koffie,Geen tijd om te ontbijten? Met deze smoothie van banaan en koffie vlieg je zo de deur uit en heb je ook meteen je dosis cafeïne binnen. 
16,Koffiecocktail met vlierbloesemsiroop en munt,"Feest? Vergeet de klassiekers en shake een cocktail met Tia Maria, koffie en vlierbloesemsiroop niet. Door ook nog wat munt toe te voegen, wordt ie extra verfrissend. "
17,IJslolly’s met koffie,"O zo zoet, maar daarom ook o zo lekker, deze ijsjes op basis van koffie en slagroom. Maak er gelijk meer, zodat je uit kunt delen. ﻿"
18,"Koekje bij de koffie, maar dan anders",Geen koffie zonder koekje in Nederland. Juist daarom is het leuk om eens verrassend uit de hoek te komen en iets ‘erbij’ te serveren.
19,Gezouten espressoboter,"Waarom niet, boter met gemalen koffie. Dat is weer eens een ander smeersel voor bij brood en een glas wijn. "
20,Breekchocolade,"Ook als je onverwacht visite krijgt, wil je iets in huis hebben voor bij de koffie. Perfect hiervoor is deze grote plaat breekchocolade."
21,Bananencake met crunchy topping,"Heb je te veel koffie op? Neem een banaan, dat neutraliseert. Dit is ook meteen een goede smoes om altijd een stuk bananencake bij je koffie te bestellen. "
22,Filterkoffie met hartige borrelhapjes,"Helemaal van nu: filterkoffie met iets hartigs, bijvoorbeeld borrelhapjes op basis van diverse soorten kaas"
23,3x koffie met een simpele twist,Koffie kun je op verschillende manieren een simpele twist geven. Voeg bijvoorbeeld een klein scheutje kokossiroop toe aan je espresso.
24,Wafels met koffiesiroop,"Als er één keukenapparaat het investeren waard is, dan is het wel een wafelijzer. Je maakt er in een handomdraai de lekkerste wafels mee."
25,Galette met appel en hopjesvla,Een ouderwetse appeltaart kennen we natuurlijk wel. Maar net zo lekker smaakt zijn galante vriend: de Franse galette.
26,Smoothiebowl met koffiegranola,"Wat een goed begin van de dag, deze smoothie in een kom. Al helemaal met de zelfgemaakte koffiegranola en vers fruit ."
27,Geroosterd suikerbrood met kokoshangop,Suikerbrood – in het Fries sûkerbôle – is een echte Friese lekkernij. Serveer ‘m geroosterd bij de koffie met een heerlijke kokoshangop.
28,Koffiesmoothie met banaan en kaneel,Geen tijd om te ontbijten? Met deze smoothie van banaan en koffie vlieg je zo de deur uit én heb je meteen je dosis cafeïne binnen.
29,Kopi Soesoe,"Kopi Soesoe is een Indonesische koffie met laagje gecondenseerde melk en kardemom. Hoe meer je je koffie roert, hoe zoeter de smaak. "
30,Vanille-ijs met suikerspin en espresso,Zin in een ijsje na het eten? Dit toetje is super-zoet maar ontzettend lekker.
31,Mini-chocoladetaartjes op een vorkje,"Wat een binnenkomer, deze mini-chocoladetaartjes. Niet alleen lekker en een lust voor het oog, ze zijn ook nog eens makkelijk te maken én er komt geen oven, keukenmachine of mixer aan te pas."
32,Caffè Covalo: espresso met likeur,Met deze Italiaanse koffiedrank op basis van Moretta Covalo maak je vrienden. Drink hem warm of koud met ijs: allebei een groot succes. 
33,Heerlijk avondje? Bak speculaaspannenkoeken!,Het heerlijk avondje begint ’s ochtends al met deze heerlijke speculaaspannenkoeken. 
34,Pepernoten met koffiesmaak en witte chocolade,"Wil je eens een andere pepernoot maken? Probeer dan deze met koffiesmaak, overgoten met witte chocolade. "
35,IJskoffie met limoen,"Als de zon schijnt en de lucht blauw is, dan is het tijd voor ijskoffie. Met een geraspte limoen maak je ‘m extra fris."
36,Kaneelrolletjes voor bij de koffie,"Misschien ken je hem wel, de kanelbulle, het Zweedse broodje dat vaak geserveerd wordt bij de fika (koffie met iets lekkers) in Zweden. Het bakken waard! "
37,Bananencake zonder suiker,Cafeïne-overdosis? Neem dan een plak van deze bananencake zonder suiker! 
38,Filterkoffie met kokoswater: verfrissende zomerdrank,Als je het ons vraagt dé zomerdrank van 2017: filterkoffie met kokoswater. Verfrissend én verrassend van smaak.
39,Maak je eigen koffiesiroop,Op zoek naar een lekker toetje? Wat dacht je van ijs met zelfgemaakte koffiesiroop! 
40,IJskoffie met een vleugje gember,Afkoelen? Dat doe je met de ijskoffie van Batavia Dutch Coffee. Verrassend lekker in combinatie met Ginger Ale. 
41,Zelf amandelmelk maken: zó doe je dat!,Ben je opzoek naar een alternatief voor koemelk in je koffie?  Probeer dan eens notenmelk. 
42,Avocado-limoentaartjes voor bij de koffie,"Een taartje met avocado klinkt misschien wat vreemd, maar het is echt het maken én het proeven waard! "
43,Koffie met een vleugje hazelnoot,"Koffie met hazelnootsmaak? Niet met siroop en suikers, maar gewoon met echte hazelnoten. "
44,Lange vingers om te dippen in je koffie,Lange vingers zijn ook ontzettend lekker om gewoon een beetje te dippen in je koffie. Uiteraard zelfgemaakt! 
45,Koffie en… bananenbrood met pecannoten,"Oei, wat moeten we vandaag weer bij de koffie serveren? Wij zeggen: bananenbrood met pecannoten!  "
46,Spaanse koffie met Licor 43,Deze Spaanse koffie met Licor 43 doet niet onder voor de Irish Coffee! 
47,Snel en makkelijk toetje: bonbon koffie,Voor de zoetekauw én de koffieliefhebber: bonbon koffie!
48,Feestje? Serveer deze koffiecocktail!,Wil je eens iets anders inschenken op een feestje? Probeer deze koffiecocktail op basis van wodka en bruine suiker. 
49,Mmm… chocoladekoffiepasta op een pannenkoek,Het heeft acht lettergrepen en is ontzettend lekker op een pannenkoek: chocoladekoffiepasta. 
50,Zo maak je Irish coffee,Irish Coffee: een klassieker die je ten alle tijden kunt serveren! 
51,Lekker én gezond: chocolade-kokostaart,Taart bij de koffie? Wij serveren deze chocolade-kokostaart! 
52,"Dadeltaart, die je niet niet hoeft te bakken…",Wil je niet uren in de keuken staan om iets lekkers bij de koffie te serveren? Maak deze dadeltaart die je niet hoeft te bakken.
53,Word wakker met espresso muesli,De beste start van de dag? Met koffie én espresso muesli! 
54,Lekker bij de koffie: chocoladebananen,"Vergeet het koekje bij de koffie, maar serveer deze chocoladebananen. "
55,Voor bij de koffie: Slutty Brownies,"Wil je brownies bakken, doe het doe eens lekker fout. En met fout bedoelen we Slutty Brownies, speciale brownies die bestaan uit drie lagen: cookie dough, Oreos en browniebeslag."
56,Bij de koffie: Arretjescake,Chocolade doet het altijd goed bij de koffie. Zo ook deze gezonde arretjescake met een intense chocoladesmaak. 
57,Espresso op z’n Vietnamees,Met oog op de zomer zetten we de koffie weer koud. Geïnspireerd op onze reis naar Vietnam doen we dat met een zoete variant.
58,Zelfgemaakte ijsjes van koffie,Dol op koffie én ijs? Dan is dit een recept waar je niet omheen kunt: ijsjes van koffie! 
59,Zo maak je bulletproof coffee,Trend of toch niet? Wij gingen gingen aan de slag met de bulletproof coffee. Deze koffie kan worden gebruikt ter vervanging van je ontbijt.
60,Koffiecakerol voor bij de koffie,"Met deze koffiecakerol pak je iedereen in. En schrik niet van de lange ingredientenlijst, want je maakt hem in een handomdraai."
61,Koffie met chocolademelk,Er zijn heel veel variaties mogelijk met koffie. Denk bijvoorbeeld aan de combinatie van chocolademelk met een espresso. 
62,Koffietrend: zout in de koffie,Nieuwe trend: koffie met zout. Een klein mespuntje geeft de koffie direct een andere beleving. 
63,Koffiecocktail met espressolikeur en amandelmelk,"Koffie als ingrediënt in een cocktail, waarom niet! Zo vormen een scheut espressolikeur en amandelmelk de basis voor een verrassende cocktail."
64,Filterkoffie met amandelmelk,"Ben je gewend om koffie te drinken met koffiemelk, probeer dan eens amandelmelk. Extra lekker als je het opwarmt! "
65,Koffieshake met amandelmelk & cacao,"Als je helemaal weg bent van shakes en koffie, dan is dit het ultieme recept voor een heerlijke koffieshake! "
66,Muffins met koffiesmaak,"Muffins zijn heerlijk bij de koffie, al helemaal als ze ook nog eens een subtiele koffiesmaak hebben. "
67,Koffiesnack: geroosterde honingnoten uit de oven,"Nootjes zijn lekker, gezond en perfect als tussendoortje bij de koffie. Geef ze deze zoete twist! "
68,Koffie met sojamelk graag!," Soja is van zichzelf zoeter dan melk, hierdoor heb je dus extra smaak aan je dagelijks bakkie en is suiker niet eens nodig."
69,Carrotcake van speltmeel,Carrotcake is een heerlijke taart/cake met walnoten en een kruidige speculaassmaak. Lekker om bij de koffie te serveren! 
70,Boterkoekjes met koffiebonen,"Als je dan toch een koekje bij de koffie serveert, mag het best wel speciaal zijn. Bak ze zelf en maak ze stoer met koffiebonen!"
71,Kokosbollen voor extra energie,Heb je aan een straffe espresso niet genoeg? Serveer er deze kokosbollen bij voor een extra energieshot. 
72,Cold brew coffee van Le Froid,Tijd om af te koelen? Maak dan een cold brew coffee met behulp van Le Froid. Je kunt er verschillende recepten meemaken. Hierbij twee opties! 
73,Deze thee geeft je een koffiekick,"Als je eens iets anders wilt drinken dan koffie in de ochtend, dan is deze sterke ontbijtthee de perfecte ‘koffiekick’. "
74,Amandelmelk in je koffie,"Koffie met melk? Denk hierbij niet alleen aan melk of sojamelk, ook met amandelmelk kun je volop experimenteren!"
75,Lust je geen koffie? Maak een chocolade frappuccino,Voor iedereen die niet koffie lust: maak eens een chocolade frappuccino. Deze ijskoffie is een voorzichtige kennismaking met koffie. Hierbij het recept! 
76,Bokkenpootjes bij de koffie,"Vergeet de carrotcake, appeltaart en brownies. Wij serveren gewoon old school bokkenpootjes bij de koffie. Hierbij het recept! "
77,Koffiesnack: abrikozen met choclade,Een lekkere snack voor bij de koffie zijn deze abrikozen met chocolade. Makkelijk om te maken en de smaak combineert goed bij een fruitige Afrikaanse koffie. 
78,Lolly’s met koffieboontjes,Alle gekheid op een stokje met deze gedecoreerde koffielolly’s. Lekker om te serveren bij een filterkoffie of als zoete tegenhanger van een sterke espresso.
79,Gesuikerde hazelnoten bij de koffie,Wil je eens iets anders dan taart of koek bij de koffie serveren? Kies dan voor een schaaltje met gesuikerde hazelnoten. Hierbij het recept!
80,Gezonde snack bij de koffie?,"Op zoek naar een gezonde snack voor bij de koffie? De Koffiefilters maakten deze gezonde reep van zaden, noten, vruchten en kokosolie."
81,Koffiecocktail met kokosmelk,Wil je je koffie een exotische touch geven? Combineer dan je barista skills met je bartender skills en shake deze heerlijke koffiecocktail met een vleugje kokosmelk! 
82,Espresso met Beerenburg,Opwarmertje nodig? Gooi een scheutje Beerenburg door je espresso en je hebt het instant warm!  
83,Hip in Azië: Sea Salt Coffee,Voor deze Salt Sea Coffee zet je eerst filterkoffie met de Chemex of de French Press.
84,Cappuccino met kruimels van bastognekoekjes,"Een andere draai geven aan je dagelijkse cappuccino? Rasp een bastognekoekje over het melkschuim! Snel, simpel en ontzettend lekker. Je  gasten zullen verrast zijn!"
85,Koffie milkshake: snel én lekker,"Een milkshake banaan, aardbei of vanille kennen we inmiddels wel. Als echte koffieliefhebber maak je ‘m natuurlijk met koffie. Hieronder het snelle recept voor een koffie milkshake!  Ingrediënten – 2 koppen sterke koffie à 150 ml – 400 ml volle melk – 900 ml slagroomijs Extra – blender Zo maak je het! Doe 1 kop […]"
86,Bij de koffie: Bananabread,"Laten we eerlijk zijn, zo af en toe hoort er bij koffie iets lekkers. De Zweden gaan voor een kanelbulle, de Turken voor baklava en wij? Wij doen het precies zoals de Panamezen met een stukje bananabread bij ons bakkie. Ingrediënten – 500 gram zelfrijzend bakmeel – 4 overrijpe bananen (hoe rijper, hoe meer smaak) […]"
87,Babyccino: zo maak je het!,"Met koffie kun je niet vroeg genoeg beginnen. Een grote trend onder koffiebars in New York en Australië is de babyccino, een hippe kleuterkoffie die bestaat uit opgeschuimde melk en een laagje chocoladepoeder. Wij maakten zelf een variant waarmee je je peuter, kleuter, neefje of nichtje de passie voor koffie al vroeg kunt aanleren.  Ingrediënten […]"
88,Koffiecocktail met Tia Maria,"Kunnen de benen weer bloot of geef je een feestje? Serveer deze heerlijke koffiecocktail met Tia Maria. Daarnaast voeg je een halve sinaasappel en bruine suiker toe. Proost!  Ingrediënten – bruine suiker – halve sinaasappel – Tia Maria – gemalen koffiebonen (wij gebruikten koffiebonen uit Panama, La Esmeralda van de Espressofabriek) Zo maak je het! […]"
89,Toetje: Koffie mousse,De echte koffieliefhebber zegt nee tegen gele vla en gaat de keuken in met het recept van deze koffie mousse. Wij hebben in lange tijd niet zo’n lekker toetje gehad! Ingrediënten – 3 eieren – 200 ml slagroom – 100 – 150 ml espresso koffie – 2 theelepeltjes of een kleine eetlepel oploskoffie – 60-70 […]
90,Tiramisu met Fairtrade espresso,"Wat moeten we toch zonder de Italianen? Ze hebben niet alleen de espresso in het leven geroepen, maar zijn ook nog de bedenkers van tiramisu. Dit heerlijke toetje moet je eens gemaakt hebben!  Wij gaan binnenkort aan de slag met dit lekkere recept van ZTRDG. Hiervoor gebruiken we zo veel mogelijk Fairtrade producten. Ja, ook de […]"
91,Sinterklaaskoffie met pepernootkruimels,Geef je koffie een twist met pepernoten. Hoe? Verkruimel een paar pepernoten en strooi het over het melkschuim.
92,Maak je eigen Pumpkin Spice Latte,Dol op de Pumkin Spice Latte van Starbucks? Je kunt ‘m ook eenvoudig zelf maken. Hierbij het recept! 
93,Video: Japanse ijskoffie,Alvast een voorproefje op de lente met deze Japanse ijskoffie. Bijzonder aan deze Japanse variant is dat er warme koffie op ijsklontjes wordt gegoten om zo de smaak van de koffie intact te houden. Bekijk deze video en ontdek van a tot z hoe je Japanse ijskoffie maakt. Wij zetten ‘m in ieder geval tijdens […]
